id,callproviderID,phonenumberID,customernumber,type,started,ended,milliseconds,cost fields,ended reason,transcript
"
",,,,outbound,5/15/2025 3:47pm,5/15/2025 3:47pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 3:47pm,5/15/2025 3:47pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 3:47pm,5/15/2025 3:47pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 3:47pm,5/15/2025 3:47pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 3:47pm,5/15/2025 3:47pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 3:47pm,5/15/2025 3:47pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 3:47pm,5/15/2025 3:47pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 3:47pm,5/15/2025 3:47pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 3:47pm,5/15/2025 3:47pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 3:47pm,5/15/2025 3:47pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 3:47pm,5/15/2025 3:47pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 3:47pm,5/15/2025 3:47pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 3:47pm,5/15/2025 3:47pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 3:47pm,5/15/2025 3:47pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 3:47pm,5/15/2025 3:47pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 3:47pm,5/15/2025 3:47pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 3:47pm,5/15/2025 3:47pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 3:47pm,5/15/2025 3:47pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 3:47pm,5/15/2025 3:47pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 3:47pm,5/15/2025 3:47pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 3:47pm,5/15/2025 3:47pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 3:47pm,5/15/2025 3:47pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 3:47pm,5/15/2025 3:47pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 3:47pm,5/15/2025 3:47pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 3:47pm,5/15/2025 3:47pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 3:47pm,5/15/2025 3:47pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 3:47pm,5/15/2025 3:47pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 3:47pm,5/15/2025 3:47pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 3:47pm,5/15/2025 3:47pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 3:47pm,5/15/2025 3:47pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 3:47pm,5/15/2025 3:47pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 3:47pm,5/15/2025 3:47pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 3:47pm,5/15/2025 3:47pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 3:47pm,5/15/2025 3:47pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 3:47pm,5/15/2025 3:47pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 3:47pm,5/15/2025 3:47pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 3:47pm,5/15/2025 3:47pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 3:47pm,5/15/2025 3:47pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 3:47pm,5/15/2025 3:47pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 3:47pm,5/15/2025 3:47pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 3:47pm,5/15/2025 3:47pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 3:47pm,5/15/2025 3:47pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 3:47pm,5/15/2025 3:47pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 3:47pm,5/15/2025 3:47pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 3:47pm,5/15/2025 3:47pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 3:47pm,5/15/2025 3:47pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 3:47pm,5/15/2025 3:47pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 3:47pm,5/15/2025 3:47pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 3:47pm,5/15/2025 3:47pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 3:47pm,5/15/2025 3:47pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 3:47pm,5/15/2025 3:47pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 3:47pm,5/15/2025 3:47pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 3:47pm,5/15/2025 3:47pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 3:47pm,5/15/2025 3:47pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 3:47pm,5/15/2025 3:47pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 3:47pm,5/15/2025 3:47pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 3:47pm,5/15/2025 3:47pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 3:47pm,5/15/2025 3:47pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 3:48pm,5/15/2025 3:48pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 3:54pm,5/15/2025 3:54pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 3:54pm,5/15/2025 3:54pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 3:54pm,5/15/2025 3:54pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 3:54pm,5/15/2025 3:54pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 3:54pm,5/15/2025 3:54pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 3:54pm,5/15/2025 3:54pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 3:54pm,5/15/2025 3:54pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 3:54pm,5/15/2025 3:54pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 3:54pm,5/15/2025 3:54pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 3:54pm,5/15/2025 3:54pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 3:54pm,5/15/2025 3:54pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 3:54pm,5/15/2025 3:54pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 3:54pm,5/15/2025 3:54pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 3:54pm,5/15/2025 3:54pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 3:54pm,5/15/2025 3:54pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 3:54pm,5/15/2025 3:54pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 3:54pm,5/15/2025 3:54pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 3:54pm,5/15/2025 3:54pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 3:54pm,5/15/2025 3:54pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 3:54pm,5/15/2025 3:54pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 3:54pm,5/15/2025 3:54pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 3:54pm,5/15/2025 3:54pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 3:54pm,5/15/2025 3:54pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 3:54pm,5/15/2025 3:54pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 3:54pm,5/15/2025 3:54pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 3:54pm,5/15/2025 3:54pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 3:54pm,5/15/2025 3:54pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 3:55pm,5/15/2025 3:55pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 3:55pm,5/15/2025 3:55pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 3:55pm,5/15/2025 3:55pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 3:55pm,5/15/2025 3:55pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 3:55pm,5/15/2025 3:55pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 3:55pm,5/15/2025 3:55pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 3:55pm,5/15/2025 3:55pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 3:55pm,5/15/2025 3:55pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 3:55pm,5/15/2025 3:55pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 3:55pm,5/15/2025 3:55pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 3:55pm,5/15/2025 3:55pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 3:55pm,5/15/2025 3:55pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 3:55pm,5/15/2025 3:55pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 3:55pm,5/15/2025 3:55pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 3:55pm,5/15/2025 3:55pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 3:55pm,5/15/2025 3:55pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 3:55pm,5/15/2025 3:55pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 3:55pm,5/15/2025 3:55pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 3:55pm,5/15/2025 3:55pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 3:55pm,5/15/2025 3:55pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 3:55pm,5/15/2025 3:55pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 3:55pm,5/15/2025 3:55pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 3:55pm,5/15/2025 3:55pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 3:55pm,5/15/2025 3:55pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 3:55pm,5/15/2025 3:55pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 3:55pm,5/15/2025 3:55pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 3:55pm,5/15/2025 3:55pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 3:55pm,5/15/2025 3:55pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 3:55pm,5/15/2025 3:55pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 3:55pm,5/15/2025 3:55pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 3:55pm,5/15/2025 3:55pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 3:55pm,5/15/2025 3:55pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 3:55pm,5/15/2025 3:55pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 3:55pm,5/15/2025 3:55pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 3:55pm,5/15/2025 3:55pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 3:55pm,5/15/2025 3:55pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 3:55pm,5/15/2025 3:55pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 3:55pm,5/15/2025 3:55pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 3:55pm,5/15/2025 3:55pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 3:55pm,5/15/2025 3:55pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 3:55pm,5/15/2025 3:55pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 3:55pm,5/15/2025 3:55pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 3:55pm,5/15/2025 3:55pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 3:55pm,5/15/2025 3:55pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 3:55pm,5/15/2025 3:55pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 3:55pm,5/15/2025 3:55pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 3:55pm,5/15/2025 3:55pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 3:55pm,5/15/2025 3:55pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 3:55pm,5/15/2025 3:55pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 3:55pm,5/15/2025 3:55pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 3:55pm,5/15/2025 3:55pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 3:55pm,5/15/2025 3:55pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 3:55pm,5/15/2025 3:55pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 3:55pm,5/15/2025 3:55pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 3:55pm,5/15/2025 3:55pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 3:55pm,5/15/2025 3:55pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 3:55pm,5/15/2025 3:55pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 3:55pm,5/15/2025 3:55pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 3:55pm,5/15/2025 3:55pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 3:55pm,5/15/2025 3:55pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 3:55pm,5/15/2025 3:55pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 3:55pm,5/15/2025 3:55pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 3:55pm,5/15/2025 3:55pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 3:55pm,5/15/2025 3:55pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 3:55pm,5/15/2025 3:55pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 3:55pm,5/15/2025 3:55pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 3:55pm,5/15/2025 3:55pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 3:55pm,5/15/2025 3:55pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 3:55pm,5/15/2025 3:55pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 3:55pm,5/15/2025 3:55pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 3:55pm,5/15/2025 3:55pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 3:55pm,5/15/2025 3:55pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 3:55pm,5/15/2025 3:55pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 3:55pm,5/15/2025 3:55pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 3:55pm,5/15/2025 3:55pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 3:55pm,5/15/2025 3:55pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 3:56pm,5/15/2025 3:56pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 3:56pm,5/15/2025 3:56pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 3:56pm,5/15/2025 3:56pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 3:56pm,5/15/2025 3:56pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 3:56pm,5/15/2025 3:56pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 3:56pm,5/15/2025 3:56pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 3:56pm,5/15/2025 3:56pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 3:56pm,5/15/2025 3:56pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 3:56pm,5/15/2025 3:56pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 3:56pm,5/15/2025 3:56pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 3:56pm,5/15/2025 3:56pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 3:56pm,5/15/2025 3:56pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 3:56pm,5/15/2025 3:56pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 3:56pm,5/15/2025 3:56pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 3:56pm,5/15/2025 3:56pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 3:56pm,5/15/2025 3:56pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 3:56pm,5/15/2025 3:56pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 3:56pm,5/15/2025 3:56pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 3:56pm,5/15/2025 3:56pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 3:56pm,5/15/2025 3:56pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 3:56pm,5/15/2025 3:56pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 3:56pm,5/15/2025 3:56pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 3:56pm,5/15/2025 3:56pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 3:56pm,5/15/2025 3:56pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 3:56pm,5/15/2025 3:56pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 3:56pm,5/15/2025 3:56pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 3:56pm,5/15/2025 3:56pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 3:56pm,5/15/2025 3:56pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 3:56pm,5/15/2025 3:56pm,0.0,$0.00,,
